country,group,cases
AD,f0-14,0.0
AE,f0-14,4.0
AF,f0-14,3500.0
AG,f0-14,0.0
AI,f0-14,0.0
AL,f0-14,27.0
AM,f0-14,50.0
AO,f0-14,5200.0
AR,f0-14,660.0
AS,f0-14,0.0
AT,f0-14,30.0
AU,f0-14,86.0
AW,f0-14,1.0
AZ,f0-14,360.0
BA,f0-14,45.0
BB,f0-14,0.0
BD,f0-14,17000.0
BE,f0-14,53.0
BF,f0-14,520.0
BG,f0-14,81.0
BH,f0-14,9.0
BI,f0-14,740.0
BJ,f0-14,390.0
BM,f0-14,0.0
BN,f0-14,14.0
BO,f0-14,650.0
BQ,f0-14,0.0
BR,f0-14,5200.0
BS,f0-14,3.0
BT,f0-14,50.0
BW,f0-14,420.0
BY,f0-14,190.0
BZ,f0-14,8.0
CA,f0-14,69.0
CD,f0-14,16000.0
CF,f0-14,1300.0
CG,f0-14,1300.0
CH,f0-14,29.0
CI,f0-14,2100.0
CK,f0-14,0.0
CL,f0-14,150.0
CM,f0-14,2900.0
CN,f0-14,47000.0
CO,f0-14,920.0
CR,f0-14,27.0
CU,f0-14,47.0
CV,f0-14,43.0
CW,f0-14,1.0
CY,f0-14,3.0
CZ,f0-14,27.0
DE,f0-14,230.0
DJ,f0-14,140.0
DK,f0-14,14.0
DM,f0-14,0.0
DO,f0-14,270.0
DZ,f0-14,1900.0
EC,f0-14,400.0
EE,f0-14,9.0
EG,f0-14,630.0
ER,f0-14,210.0
ES,f0-14,210.0
ET,f0-14,9500.0
FI,f0-14,13.0
FJ,f0-14,23.0
FM,f0-14,9.0
FR,f0-14,210.0
GA,f0-14,700.0
GB,f0-14,320.0
GD,f0-14,0.0
GE,f0-14,180.0
GH,f0-14,1000.0
GL,f0-14,3.0
GM,f0-14,210.0
GN,f0-14,1200.0
GQ,f0-14,130.0
GR,f0-14,21.0
GT,f0-14,520.0
GU,f0-14,5.0
GW,f0-14,440.0
GY,f0-14,39.0
HK,f0-14,260.0
HN,f0-14,210.0
HR,f0-14,20.0
HT,f0-14,1000.0
HU,f0-14,34.0
ID,f0-14,23000.0
IE,f0-14,16.0
IL,f0-14,13.0
IN,f0-14,107000.0
IQ,f0-14,860.0
IR,f0-14,640.0
IS,f0-14,1.0
IT,f0-14,140.0
JM,f0-14,8.0
JO,f0-14,35.0
JP,f0-14,790.0
KE,f0-14,9900.0
KG,f0-14,440.0
KH,f0-14,3100.0
KI,f0-14,24.0
KM,f0-14,16.0
KN,f0-14,0.0
KP,f0-14,6200.0
KR,f0-14,1200.0
KW,f0-14,61.0
KY,f0-14,0.0
KZ,f0-14,570.0
LA,f0-14,740.0
LB,f0-14,38.0
LC,f0-14,1.0
LK,f0-14,680.0
LR,f0-14,910.0
LS,f0-14,1000.0
LT,f0-14,75.0
LU,f0-14,2.0
LV,f0-14,29.0
LY,f0-14,120.0
MA,f0-14,2000.0
MC,f0-14,0.0
MD,f0-14,180.0
ME,f0-14,4.0
MG,f0-14,3700.0
MH,f0-14,13.0
MK,f0-14,13.0
ML,f0-14,520.0
MM,f0-14,11000.0
MN,f0-14,410.0
MO,f0-14,22.0
MP,f0-14,2.0
MR,f0-14,230.0
MS,f0-14,0.0
MT,f0-14,2.0
MU,f0-14,9.0
MV,f0-14,8.0
MW,f0-14,880.0
MX,f0-14,1600.0
MY,f0-14,2000.0
MZ,f0-14,11000.0
NC,f0-14,2.0
NE,f0-14,1100.0
NG,f0-14,27000.0
NI,f0-14,140.0
NL,f0-14,42.0
NO,f0-14,13.0
NP,f0-14,2300.0
NR,f0-14,1.0
NU,f0-14,0.0
NZ,f0-14,18.0
OM,f0-14,17.0
PA,f0-14,110.0
PE,f0-14,2200.0
PF,f0-14,3.0
PG,f0-14,1800.0
PH,f0-14,34000.0
PK,f0-14,27000.0
PL,f0-14,290.0
PR,f0-14,3.0
PS,f0-14,3.0
PT,f0-14,100.0
PW,f0-14,1.0
PY,f0-14,200.0
QA,f0-14,37.0
RO,f0-14,790.0
RS,f0-14,72.0
RU,f0-14,1400.0
RW,f0-14,420.0
SA,f0-14,160.0
SB,f0-14,24.0
SC,f0-14,1.0
SD,f0-14,2100.0
SE,f0-14,26.0
SG,f0-14,120.0
SI,f0-14,6.0
SK,f0-14,12.0
SL,f0-14,1200.0
SM,f0-14,0.0
SN,f0-14,1100.0
SO,f0-14,2500.0
SR,f0-14,9.0
SS,f0-14,1000.0
ST,f0-14,14.0
SV,f0-14,260.0
SX,f0-14,0.0
SY,f0-14,180.0
SZ,f0-14,370.0
TC,f0-14,0.0
TD,f0-14,1400.0
TG,f0-14,180.0
TH,f0-14,4100.0
TJ,f0-14,400.0
TK,f0-14,0.0
TL,f0-14,380.0
TM,f0-14,130.0
TN,f0-14,170.0
TO,f0-14,1.0
TR,f0-14,690.0
TT,f0-14,13.0
TV,f0-14,1.0
TZ,f0-14,4100.0
UA,f0-14,1600.0
UG,f0-14,4200.0
US,f0-14,420.0
UY,f0-14,62.0
UZ,f0-14,1200.0
VC,f0-14,0.0
VE,f0-14,840.0
VG,f0-14,0.0
VN,f0-14,6600.0
VU,f0-14,7.0
WF,f0-14,0.0
WS,f0-14,2.0
YE,f0-14,710.0
ZA,f0-14,18000.0
ZM,f0-14,3600.0
ZW,f0-14,2600.0
,f0-14,880.0
AD,f0-4,
AE,f0-4,
AF,f0-4,1800.0
AG,f0-4,
AI,f0-4,
AL,f0-4,
AM,f0-4,
AO,f0-4,2800.0
AR,f0-4,270.0
AS,f0-4,
AT,f0-4,
AU,f0-4,35.0
AW,f0-4,
AZ,f0-4,190.0
BA,f0-4,
BB,f0-4,
BD,f0-4,8000.0
BE,f0-4,
BF,f0-4,280.0
BG,f0-4,41.0
BH,f0-4,
BI,f0-4,420.0
BJ,f0-4,210.0
BM,f0-4,
BN,f0-4,
BO,f0-4,330.0
BQ,f0-4,
BR,f0-4,1800.0
BS,f0-4,
BT,f0-4,
BW,f0-4,210.0
BY,f0-4,99.0
BZ,f0-4,
CA,f0-4,37.0
CD,f0-4,8500.0
CF,f0-4,680.0
CG,f0-4,710.0
CH,f0-4,
CI,f0-4,1100.0
CK,f0-4,
CL,f0-4,75.0
CM,f0-4,1600.0
CN,f0-4,24000.0
CO,f0-4,450.0
CR,f0-4,
CU,f0-4,
CV,f0-4,
CW,f0-4,
CY,f0-4,
CZ,f0-4,
DE,f0-4,120.0
DJ,f0-4,
DK,f0-4,
DM,f0-4,
DO,f0-4,120.0
DZ,f0-4,1000.0
EC,f0-4,200.0
EE,f0-4,
EG,f0-4,330.0
ER,f0-4,91.0
ES,f0-4,110.0
ET,f0-4,4900.0
FI,f0-4,
FJ,f0-4,
FM,f0-4,
FR,f0-4,96.0
GA,f0-4,380.0
GB,f0-4,130.0
GD,f0-4,
GE,f0-4,96.0
GH,f0-4,540.0
GL,f0-4,
GM,f0-4,120.0
GN,f0-4,640.0
GQ,f0-4,73.0
GR,f0-4,
GT,f0-4,250.0
GU,f0-4,
GW,f0-4,240.0
GY,f0-4,
HK,f0-4,130.0
HN,f0-4,70.0
HR,f0-4,
HT,f0-4,520.0
HU,f0-4,
ID,f0-4,9600.0
IE,f0-4,
IL,f0-4,
IN,f0-4,53000.0
IQ,f0-4,450.0
IR,f0-4,200.0
IS,f0-4,
IT,f0-4,67.0
JM,f0-4,
JO,f0-4,
JP,f0-4,360.0
KE,f0-4,5300.0
KG,f0-4,240.0
KH,f0-4,1600.0
KI,f0-4,
KM,f0-4,
KN,f0-4,
KP,f0-4,1100.0
KR,f0-4,560.0
KW,f0-4,
KY,f0-4,
KZ,f0-4,310.0
LA,f0-4,390.0
LB,f0-4,
LC,f0-4,
LK,f0-4,350.0
LR,f0-4,480.0
LS,f0-4,530.0
LT,f0-4,39.0
LU,f0-4,
LV,f0-4,
LY,f0-4,62.0
MA,f0-4,1000.0
MC,f0-4,
MD,f0-4,94.0
ME,f0-4,
MG,f0-4,2000.0
MH,f0-4,
MK,f0-4,
ML,f0-4,290.0
MM,f0-4,5500.0
MN,f0-4,130.0
MO,f0-4,
MP,f0-4,
MR,f0-4,120.0
MS,f0-4,
MT,f0-4,
MU,f0-4,
MV,f0-4,
MW,f0-4,480.0
MX,f0-4,520.0
MY,f0-4,710.0
MZ,f0-4,5700.0
NC,f0-4,
NE,f0-4,590.0
NG,f0-4,15000.0
NI,f0-4,71.0
NL,f0-4,
NO,f0-4,
NP,f0-4,1000.0
NR,f0-4,
NU,f0-4,
NZ,f0-4,
OM,f0-4,
PA,f0-4,69.0
PE,f0-4,1100.0
PF,f0-4,
PG,f0-4,940.0
PH,f0-4,17000.0
PK,f0-4,14000.0
PL,f0-4,150.0
PR,f0-4,
PS,f0-4,
PT,f0-4,60.0
PW,f0-4,
PY,f0-4,91.0
QA,f0-4,
RO,f0-4,280.0
RS,f0-4,33.0
RU,f0-4,520.0
RW,f0-4,230.0
SA,f0-4,82.0
SB,f0-4,
SC,f0-4,
SD,f0-4,1100.0
SE,f0-4,
SG,f0-4,60.0
SI,f0-4,
SK,f0-4,
SL,f0-4,630.0
SM,f0-4,
SN,f0-4,610.0
SO,f0-4,1400.0
SR,f0-4,
SS,f0-4,540.0
ST,f0-4,
SV,f0-4,130.0
SX,f0-4,
SY,f0-4,89.0
SZ,f0-4,170.0
TC,f0-4,
TD,f0-4,750.0
TG,f0-4,97.0
TH,f0-4,1900.0
TJ,f0-4,200.0
TK,f0-4,
TL,f0-4,200.0
TM,f0-4,67.0
TN,f0-4,89.0
TO,f0-4,
TR,f0-4,210.0
TT,f0-4,
TV,f0-4,
TZ,f0-4,2200.0
UA,f0-4,830.0
UG,f0-4,2300.0
US,f0-4,230.0
UY,f0-4,
UZ,f0-4,620.0
VC,f0-4,
VE,f0-4,380.0
VG,f0-4,
VN,f0-4,2000.0
VU,f0-4,
WF,f0-4,
WS,f0-4,
YE,f0-4,360.0
ZA,f0-4,9100.0
ZM,f0-4,2000.0
ZW,f0-4,1400.0
,f0-4,420.0
AD,f15-24,
AE,f15-24,
AF,f15-24,7100.0
AG,f15-24,
AI,f15-24,
AL,f15-24,
AM,f15-24,
AO,f15-24,6300.0
AR,f15-24,1200.0
AS,f15-24,
AT,f15-24,
AU,f15-24,130.0
AW,f15-24,
AZ,f15-24,520.0
BA,f15-24,
BB,f15-24,
BD,f15-24,20000.0
BE,f15-24,
BF,f15-24,600.0
BG,f15-24,52.0
BH,f15-24,
BI,f15-24,840.0
BJ,f15-24,400.0
BM,f15-24,
BN,f15-24,
BO,f15-24,940.0
BQ,f15-24,
BR,f15-24,4800.0
BS,f15-24,
BT,f15-24,
BW,f15-24,350.0
BY,f15-24,68.0
BZ,f15-24,
CA,f15-24,110.0
CD,f15-24,17000.0
CF,f15-24,1300.0
CG,f15-24,1100.0
CH,f15-24,
CI,f15-24,2200.0
CK,f15-24,
CL,f15-24,130.0
CM,f15-24,2800.0
CN,f15-24,38000.0
CO,f15-24,820.0
CR,f15-24,
CU,f15-24,
CV,f15-24,
CW,f15-24,
CY,f15-24,
CZ,f15-24,
DE,f15-24,380.0
DJ,f15-24,
DK,f15-24,
DM,f15-24,
DO,f15-24,290.0
DZ,f15-24,2800.0
EC,f15-24,380.0
EE,f15-24,
EG,f15-24,950.0
ER,f15-24,260.0
ES,f15-24,160.0
ET,f15-24,22000.0
FI,f15-24,
FJ,f15-24,
FM,f15-24,
FR,f15-24,220.0
GA,f15-24,550.0
GB,f15-24,310.0
GD,f15-24,
GE,f15-24,170.0
GH,f15-24,2700.0
GL,f15-24,
GM,f15-24,180.0
GN,f15-24,1700.0
GQ,f15-24,170.0
GR,f15-24,
GT,f15-24,270.0
GU,f15-24,
GW,f15-24,430.0
GY,f15-24,
HK,f15-24,120.0
